,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,Volume,ParentEventID,h0,h1,h2,h3,measurementValue_vol_0.00030m_0.00500m,measurementValue_vol_0.00030m_0.00500m_detlim.,measurementUnit_vol
0,-32.66,7.01,2019-01-07,2019,1,7,20.0,557.0,Zhao_2022,579521792675151871,584016596209500159,588519646081056767,593022833391566847,0.003590664272890485,0,nm-3
1,-32.66,7.01,2019-01-07,2019,1,7,40.0,652.0,Zhao_2022,579521792675151871,584016596209500159,588519646081056767,593022833391566847,0.0015337423312883436,1,nm-3
2,-32.66,7.01,2019-01-07,2019,1,7,60.0,587.0,Zhao_2022,579521792675151871,584016596209500159,588519646081056767,593022833391566847,0.0034071550255536627,0,nm-3
3,-32.66,7.01,2019-01-07,2019,1,7,80.0,438.0,Zhao_2022,579521792675151871,584016596209500159,588519646081056767,593022833391566847,0.00228310502283105,1,nm-3
4,-32.66,7.01,2019-01-07,2019,1,7,100.0,665.0,Zhao_2022,579521792675151871,584016596209500159,588519646081056767,593022833391566847,0.0015037593984962407,1,nm-3
5,-29.97,-11.59,2019-01-13,2019,1,13,5.0,432.0,Zhao_2022,579873636396040191,584364041883877375,588865442487992319,593368629798502399,0.004629629629629629,0,nm-3
6,-29.97,-11.59,2019-01-13,2019,1,13,10.0,426.0,Zhao_2022,579873636396040191,584364041883877375,588865442487992319,593368629798502399,0.002347417840375587,1,nm-3
7,-29.97,-11.59,2019-01-13,2019,1,13,20.0,482.0,Zhao_2022,579873636396040191,584364041883877375,588865442487992319,593368629798502399,0.002074688796680498,0,nm-3
8,-29.97,-11.59,2019-01-13,2019,1,13,40.0,546.0,Zhao_2022,579873636396040191,584364041883877375,588865442487992319,593368629798502399,0.003663003663003663,0,nm-3
9,-29.97,-11.59,2019-01-13,2019,1,13,60.0,665.0,Zhao_2022,579873636396040191,584364041883877375,588865442487992319,593368629798502399,0.006015037593984963,0,nm-3
10,-29.99,-3.9,2019-01-16,2019,1,16,5.0,501.0,Zhao_2022,579873636396040191,584368439930388479,588868191267061759,593371447297048575,0.005988023952095809,0,nm-3
11,-29.99,-3.9,2019-01-16,2019,1,16,10.0,457.0,Zhao_2022,579873636396040191,584368439930388479,588868191267061759,593371447297048575,0.010940919037199124,0,nm-3
12,-29.99,-3.9,2019-01-16,2019,1,16,20.0,390.0,Zhao_2022,579873636396040191,584368439930388479,588868191267061759,593371447297048575,0.002564102564102564,1,nm-3
13,-29.99,-3.9,2019-01-16,2019,1,16,40.0,447.0,Zhao_2022,579873636396040191,584368439930388479,588868191267061759,593371447297048575,0.0022371364653243847,1,nm-3
14,-29.99,-3.9,2019-01-16,2019,1,16,60.0,562.0,Zhao_2022,579873636396040191,584368439930388479,588868191267061759,593371447297048575,0.0017793594306049821,1,nm-3
0,-32.66,7.01,2019-01-07,2019,1,7,20.0,557.0,Zhao_2022,579521792675151871,584016596209500159,588519646081056767,593022833391566847,5.027928730502805e-06,0,gm-3
1,-32.66,7.01,2019-01-07,2019,1,7,40.0,652.0,Zhao_2022,579521792675151871,584016596209500159,588519646081056767,593022833391566847,2.1476658764494345e-06,1,gm-3
2,-32.66,7.01,2019-01-07,2019,1,7,60.0,587.0,Zhao_2022,579521792675151871,584016596209500159,588519646081056767,593022833391566847,4.7709647408689314e-06,0,gm-3
3,-32.66,7.01,2019-01-07,2019,1,7,80.0,438.0,Zhao_2022,579521792675151871,584016596209500159,588519646081056767,593022833391566847,3.1969820809247286e-06,1,gm-3
4,-32.66,7.01,2019-01-07,2019,1,7,100.0,665.0,Zhao_2022,579521792675151871,584016596209500159,588519646081056767,593022833391566847,2.105681430744408e-06,1,gm-3
5,-29.97,-11.59,2019-01-13,2019,1,13,5.0,432.0,Zhao_2022,579873636396040191,584364041883877375,588865442487992319,593368629798502399,6.482769219652922e-06,0,gm-3
6,-29.97,-11.59,2019-01-13,2019,1,13,10.0,426.0,Zhao_2022,579873636396040191,584364041883877375,588865442487992319,593368629798502399,3.287037914190214e-06,1,gm-3
7,-29.97,-11.59,2019-01-13,2019,1,13,20.0,482.0,Zhao_2022,579873636396040191,584364041883877375,588865442487992319,593368629798502399,2.905141393039484e-06,0,gm-3
8,-29.97,-11.59,2019-01-13,2019,1,13,40.0,546.0,Zhao_2022,579873636396040191,584364041883877375,588865442487992319,593368629798502399,5.129223997967148e-06,0,gm-3
9,-29.97,-11.59,2019-01-13,2019,1,13,60.0,665.0,Zhao_2022,579873636396040191,584364041883877375,588865442487992319,593368629798502399,8.422725722977632e-06,0,gm-3
10,-29.99,-3.9,2019-01-16,2019,1,16,5.0,501.0,Zhao_2022,579873636396040191,584368439930388479,588868191267061759,593371447297048575,8.384899110449289e-06,0,gm-3
11,-29.99,-3.9,2019-01-16,2019,1,16,10.0,457.0,Zhao_2022,579873636396040191,584368439930388479,588868191267061759,593371447297048575,1.532032988451894e-05,0,gm-3
12,-29.99,-3.9,2019-01-16,2019,1,16,20.0,390.0,Zhao_2022,579873636396040191,584368439930388479,588868191267061759,593371447297048575,3.590456798577003e-06,1,gm-3
13,-29.99,-3.9,2019-01-16,2019,1,16,40.0,447.0,Zhao_2022,579873636396040191,584368439930388479,588868191267061759,593371447297048575,3.132613314194701e-06,1,gm-3
14,-29.99,-3.9,2019-01-16,2019,1,16,60.0,562.0,Zhao_2022,579873636396040191,584368439930388479,588868191267061759,593371447297048575,2.4915981342438275e-06,1,gm-3
