,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,measurementValue,CV,measurementUnit,l_min,l_max,h0,h1,h2,h3,measurementValue_vol_1m,measurementValue_vol_5m,measurementUnit_vol
0,32.245826927710844,-143.711949979518,2019-12-04 00:00:00,2019,12,4,0,deVries2021,3.139102881327139e-06,,n m-2,0.5792618751480197,1.1585237502960395,577445914721910783,581918728023703551,586419029116190719,590922491304607743,3.139102881327139e-06,6.278205762654278e-07,n m-3
1,32.245826927710844,-143.711949979518,2019-12-04 00:00:00,2019,12,4,0,deVries2021,1.0155921086646625e-06,,n m-2,1.1585237502960395,2.317047500592079,577445914721910783,581918728023703551,586419029116190719,590922491304607743,1.0155921086646625e-06,2.031184217329325e-07,n m-3
2,33.815167085135144,-140.74545649729728,2019-12-05 00:00:00,2019,12,5,0,deVries2021,3.91150608630347e-06,,n m-2,0.5792618751480197,1.1585237502960395,577445914721910783,581923126070214655,586426175941771263,590929638130188287,3.91150608630347e-06,7.82301217260694e-07,n m-3
3,33.815167085135144,-140.74545649729728,2019-12-05 00:00:00,2019,12,5,0,deVries2021,2.2165201155719663e-06,,n m-2,1.1585237502960395,2.317047500592079,577445914721910783,581923126070214655,586426175941771263,590929638130188287,2.2165201155719663e-06,4.4330402311439327e-07,n m-3
4,36.125540726582265,-137.742070150633,2019-12-06 00:00:00,2019,12,6,0,deVries2021,1.5950550740615972e-06,,n m-2,0.5792618751480197,1.1585237502960395,577445914721910783,581940718256259071,586441019348746239,590944137939779583,1.5950550740615972e-06,3.1901101481231944e-07,n m-3
5,36.125540726582265,-137.742070150633,2019-12-06 00:00:00,2019,12,6,0,deVries2021,7.018242325871028e-07,,n m-2,1.1585237502960395,2.317047500592079,577445914721910783,581940718256259071,586441019348746239,590944137939779583,7.018242325871028e-07,1.4036484651742056e-07,n m-3
6,39.9968711625,-134.37331273125002,2019-12-07 00:00:00,2019,12,7,0,deVries2021,4.089176766933281e-07,,n m-2,0.5792618751480197,1.1585237502960395,577199624117288959,581676835465592831,586178785825521663,590681904416555007,4.089176766933281e-07,8.178353533866562e-08,n m-3
7,39.9968711625,-134.37331273125002,2019-12-07 00:00:00,2019,12,7,0,deVries2021,2.7261178446221875e-07,,n m-2,1.1585237502960395,2.317047500592079,577199624117288959,581676835465592831,586178785825521663,590681904416555007,2.7261178446221875e-07,5.452235689244375e-08,n m-3
8,42.512285533333326,-130.34419033999998,2019-12-09 00:00:00,2019,12,9,0,deVries2021,5.787394283597753e-07,,n m-2,0.5792618751480197,1.1585237502960395,577199624117288959,581676835465592831,586177686313893887,590681079782834175,5.787394283597753e-07,1.1574788567195505e-07,n m-3
9,42.512285533333326,-130.34419033999998,2019-12-09 00:00:00,2019,12,9,0,deVries2021,2.8936971417988764e-07,,n m-2,1.1585237502960395,2.317047500592079,577199624117288959,581676835465592831,586177686313893887,590681079782834175,2.8936971417988764e-07,5.787394283597753e-08,n m-3
